         19712 function calls (18393 primitive calls) in 0.248 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/quart/app.py:397(create_jinja_environment)
      984    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       36    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      428    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:164(__getitem__)
        8    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/werkzeug/routing/map.py:823(build)
        1    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/quart/templating.py:24(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        3    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:916(format)
        5    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:650(format)
       18    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:96(closegroup)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:1550(makeRecord)
        5    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:1375(new_context)
        5    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:1030(visit_Include)
      195    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:275(test)
        5    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/runtime.py:91(new_context)
      100    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:374(skip_if)
        3    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:282(__init__)
        4    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:329(parse_import_context)
        1    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/quart/app.py:423(update_template_context)
        4    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:290(test_any)
      261    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:233(__next)
       13    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/nodes.py:588(from_untrusted)
        8    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:481(signature)
     16/8    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/werkzeug/routing/map.py:782(_partial_build)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      100    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:365(next_if)
        1    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/encodings/unicode_escape.py:1(<module>)
  943/846    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      134    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:254(get)
       46    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/markupsafe/__init__.py:71(__new__)
        5    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/genericpath.py:53(getmtime)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       17    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:1424(_output_const_repr)
       27    0.000    0.000    0.000    0.000 {built-in method markupsafe._speedups.escape}
        1    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:292(__init__)
       55    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py:355(_escape)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        5    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:360(skip)
       10    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/enum.py:971(__or__)
       38    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/enum.py:358(__call__)
        5    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/environment.py:1210(from_code)
       19    0.000    0.000    0.000    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/nodes.py:612(as_const)
